favorite_count,full_text,clean_text,sentiment
6,@tanyarlfes NGAPAIN BELI BENSIN DI PERTAMINA BJIR MENDING BELI DI SHELL ATAU BP DAH,ngapain beli bensin pertamina bjir mending beli shell bp dah,positive
4,kenapa ya shell itu kaya lebih enak dilihat dibanding pom bensin lainya https://t.co/ZshWXRABdX,ya shell kaya enak dibanding pom bensin lainya,positive
0,Niat hati keluar isi bensin malah kejebak banjir 2 jam setengah di shell anjeng. Ujung²nya dorong motor dulu baru nyalain anjeng mana panjang pula banjirnya,niat hati isi bensin kejebak banjir jam shell anjeng ujung²nya dorong motor nyalain anjeng banjirnya,neutral
0,hidup dari bunga deposito adalah impianku tak lupa menjadi ibu kos yang didepan kos ada indomaret buat warisan ke anak pertama trs kalo isi bensin di akr kalo ga shell bisnis joinan sm suami,hidup bunga deposito impianku lupa kos didepan kos indomaret warisan anak trs kalo isi bensin akr kalo ga shell bisnis joinan sm suami,neutral
0,pom bensin shell udah masuk isla nublar,pom bensin shell udah masuk isla nublar,neutral
8,Bensin shell naik aku mau naik transportasi umum hari ini,bensin shell transportasi,neutral
8,AK MAU CERITAA! jadi ceritanya aku lg isi bensin kan di shell trs mas2nya nawarin promo kalo beli kopi 1 liter dapet tumblr trs ayahku nawarin lah ke aku aku jelas mau kan. terus ekspresi mas2nya langsung happy banget trs pas ngambilin kopinya mas2nya jalan sambil loncat2 gitu,ak ceritaa ceritanya lg isi bensin shell trs masnya nawarin promo kalo beli kopi liter dapet tumblr trs ayahku nawarin ekspresi masnya langsung happy banget trs pas ngambilin kopinya masnya jalan loncat gitu,neutral
1,@budi_nugraha86 @innovacommunity Di BP ada point gitu ga sih bang? Soalnya gw kalo isi di Shell kan dpt poin ya. Point nya buat isi bensin motor. Mayan gratis jadinya ,bp point gitu ga bang gw kalo isi shell dpt poin ya point isi bensin motor mayan gratis,positive
3,Bensin terbaik untuk kendaraan bermotor saat ini. Pendapat tidak populer ini berdasarkan pengalaman saya selama 2 bulan terakhir ini transisi dari bensin Shell Super ke bensin RON92 Exxon Mobil. Efek yang terasa mesin lebih halus dibanding bensin Shell. https://t.co/TBokUWoEEX,bensin terbaik kendaraan bermotor pendapat populer berdasarkan pengalaman transisi bensin shell super bensin ron exxon mobil efek mesin halus dibanding bensin shell,neutral
15,Harga BBM Pertamina-Shell Naik Ingat Isi Bensin Sesuai Rasio Kompresi https://t.co/L86Jq4t8ix,harga bbm pertaminashell isi bensin sesuai rasio kompresi,neutral
0,@Nonamenoname898 @hrdbacot setuju! terus Shell tuh suasananya kaya mall bersih cerah dan terang gitu toiletnya jg bersih wangii. tiap isi bensin sll bilang mau sekalian di lap teh kaca mobilnya? full senyum ngisi 20 liter ron 92 cuma beda 6rb sama plat merah tp pelayanan shell gk bikin ngerasa rugi,setuju shell tuh suasananya kaya mall bersih cerah terang gitu toiletnya jg bersih wangii isi bensin sll bilang lap teh kaca mobilnya full senyum ngisi liter ron beda rb plat merah tp pelayanan shell bikin ngerasa rugi,positive
60,Harga BBM naik di bulan Juli! Mari kita awali bulan Juli 2025 dengan kenaikan harga BBM. BP Shell Vivo hingga Pertamina menyesuaikan harga bensin dan diesel nonsubsidi mereka mulai dari Rp230-590 per liter. Siapa yang belum isi bensin? [via https://t.co/mrLSGCKnRW] https://t.co/S4AzhvJC2l,harga bbm juli mari awali juli kenaikan harga bbm bp shell vivo pertamina menyesuaikan harga bensin diesel nonsubsidi rp liter isi bensin via,neutral
1003,@hrdbacot Udah ga pernah isi pertamax lagi Shell: antrian ga panjang mesin lebih awet bensin lebih irit ternyata sering diucapin salam selamat pagi / siang / malam &amp; ucapan terima kasih staff mostly ramah So kenapa masih harus isi pertamax kalau di tempatmu dekat dengan Shell?,udah ga isi pertamax shell antrian ga mesin awet bensin irit diucapin salam selamat pagi siang malam amp ucapan terima kasih staff mostly ramah so isi pertamax tempatmu shell,positive
4,@CNNIndonesia Udah ga pernah isi pertamax lagi Shell: antrian ga panjang mesin lebih awet bensin lebih irit ternyata sering diucapin salam selamat pagi / siang / malam &amp; ucapan terima kasih staff mostly ramah So kenapa masih harus isi pertamax kalau di tempatmu dekat dengan Shell?,udah ga isi pertamax shell antrian ga mesin awet bensin irit diucapin salam selamat pagi siang malam amp ucapan terima kasih staff mostly ramah so isi pertamax tempatmu shell,positive
0,Alhamdulillah ada Shell di deket kosan jadi bisa isi bensin sebelum harganya naik https://t.co/luVqkd5LoV,alhamdulillah shell deket kosan isi bensin harganya,positive
0,Segera isi bensin shell karena besok naik 500 perak,isi bensin shell besok perak,neutral
0,@aralfadil Yg bikin keselnya sekarang isi bensin di shell kalo motor ngantri ga disuruh pindah ke dispenser yg lain bang,bikin keselnya isi bensin shell kalo motor ngantri ga disuruh pindah dispenser bang,neutral
0,aku semakin cinta shell selalu ada promo mas nya baik baik yang difoto jg ganteng dan bensin nya wangi aku suka aku suka,cinta shell promo mas difoto jg ganteng bensin wangi suka suka,positive
0,cibiru-bojongs dgn bensin satu batang soalnya di cibiru gak ada shell tp gpp dah aman kahimku dah penuh lg https://t.co/wKyruOTXR3,cibirubojongs dgn bensin batang cibiru gak shell tp gpp dah aman kahimku dah penuh lg,positive
0,Gais menurut kalian gua salah ga sih? Jadi tadi siang abis ngedrop teteh ke travel gua rencana isi bensin mobil karna udah mau abis. Masuk shell terdekat dan buat masuk doangnya mayan antri tapi ga begitu banyak emang kebetulan aja pom bensinnya agak kecil,gais gua salah ga siang abis ngedrop teteh travel gua rencana isi bensin mobil karna udah abis masuk shell terdekat masuk doangnya mayan antri ga emang pom bensinnya,neutral
0,gua baru kali ini liat poster charles sama lewis segede gaban di bekasi. 2x pula. satu di shell pom bensin satu lagi di puma,gua kali liat poster charles lewis segede gaban bekasi x shell pom bensin puma,neutral
0,Demi isi shell kuat juga ini bensin dari seskoal sampe pom deket rumah https://t.co/1UdEaTJ6TY,isi shell kuat bensin seskoal sampe pom deket rumah,positive
0,Pengalaman unik yg mungkin bermanfaat utk yg lain. Saya pengguna HRV Gen-3 sebelumnya isi Shell saat pulkam di KM 287A isi Pertamax tanpa sadar pengukur bensin tidak bertambah sama sekali. Sdh negatif thinking ternyata naiknya perlahan stlh 30 menit baru full.,pengalaman unik bermanfaat utk pengguna hrv gen isi shell pulkam km a isi pertamax sadar pengukur bensin bertambah sdh negatif thinking naiknya perlahan stlh menit full,positive
0,draining ngt anj hari ini ke wahoo panas-cape-pegel terus ketemu ikea terus balik bensin abis ke shell dulu yg penuh salah jalan macet dari tol sampe pvj CAPEK,draining ngt anj wahoo panascapepegel ketemu ikea bensin abis shell penuh salah jalan macet tol sampe pvj capek,neutral
0,@OGendut81 Oo dulu Shell boleh jual ya. Mayak. Aku dek Malang iki beberapa kali ke spbu kok ndak enek jual solar. Dulu dek pom bensin pertigaan arah Bu Kris itu jual tp terakhir sana kok gak jual kok yo tepak adoh sisan. Wes tak beli dek Pen2 ae nanti menisan arah plg Mas. Makasih2 ,oo shell jual ya mayak dek malang iki kali spbu ndak enek jual solar dek pom bensin pertigaan arah bu kris jual tp gak jual yo tepak adoh sisan wes beli dek pen ae menisan arah plg mas makasih,neutral
0,@sosmedkeras Sejuta tuh sekali keluar njir Keluar Nih Beli bensin mobil di shell dah 350 makan 250 lah sisa 400 paling buat Nonton beli rokok sama Martabak Kalo anterin pulang doi anjirr. Padahal dulu kata bokap gw beli lemari 30 ribu dah bagus awet sampe gw gede masih bagus ,sejuta tuh njir beli bensin mobil shell dah makan sisa nonton beli rokok martabak kalo anterin pulang doi anjirr bokap gw beli lemari ribu dah bagus awet sampe gw gede bagus,positive
0,Udah feeling aki mobil mau abis bener aja barusan abis isi bensin ga bisa di starter mobilnya wkwk Untung aja di shell ada bengkelnya‍‍,udah feeling aki mobil abis bener barusan abis isi bensin ga starter mobilnya wkwk untung shell bengkelnya,positive
0,@sbyfess Kak aku juga sama kayak kamu. Tapi aku tanyanya langsung ke orang bengkelnya. Bukan resmi atau pinggir jalan sih. Aku sekarang mau coba jadi member setia Shell (bukan cuma bensin tapi sama sparepart motor nya). Gratis kok untuk biayanya. Kamu tinggal beli alatnya aja,kak kayak langsung orang bengkelnya resmi pinggir jalan coba member setia shell bensin sparepart motor gratis biayanya tinggal beli alatnya,positive
0,Baru aja gw seneng ngisi bensin shell yg ron 98 ga nyampe 13k/L,gw seneng ngisi bensin shell ron ga nyampe kl,positive
0,@Schentz_ Harga bensin di indo overprice Kalo pertamina bajingan seperti biasanya kemungkinan naik Yang ngatur harga kan si bangsat ini shell dkk mah katanya 10rb jga dah untung,harga bensin indo overprice kalo pertamina bajingan ngatur harga si bangsat shell dkk mah rb jga dah untung,positive
0,gue selama ini isi bensin ke shell cileunyi. taunya ada shell yang agak lebih jauh tp jalannya aman yaitu shell phh mustofa. cuma lurus aja dari daerah kost gue. isi bensin ke cileunyi tuh cuma 15 - 20 menit aja tapi jalannya ngeri bgt. udah lah macet trs banyak truck gt,gue isi bensin shell cileunyi taunya shell tp jalannya aman shell phh mustofa lurus daerah kost gue isi bensin cileunyi tuh menit jalannya ngeri bgt udah macet trs truck gt,neutral
0,Eh tolong kenapa kalo isi bensin di shell selalu mobil yg diduluin. Kaya antrian motor panjang gue udh antri lama mobil yg baru dateng malah pergi duluan. Emang gitu kah sop nya,eh tolong kalo isi bensin shell mobil diduluin kaya antrian motor gue udh antri mobil dateng pergi duluan emang gitu kah sop,neutral
0,@xxtravert Coba makannya sambil main roleplay si anak jadi mobil yang jalan keliling mom jadi SPBU Shell. Jadi sekali muter harus isi bensin di SPBU Shell (makan). Ehh tapi makan sambil lari-lari gak bagus juga sihhh. Kalo gitu jangan ikutin saran aku.,coba makannya main roleplay si anak mobil jalan keliling mom spbu shell muter isi bensin spbu shell makan ehh makan larilari gak bagus sihhh kalo gitu ikutin saran,neutral
0,Beat mber saya minumnya bensin shell,beat mber minumnya bensin shell,neutral
0,Masih agak ketar-ketir 1 juli nanti bensin bakalan naik berapa. Kalau shell super rentang 13-15 ribu masih okelah tapi kalau lebih dari rentang itu mungkin efek dominonya akan lebih cepet ke sektor lainnya.,ketarketir juli bensin shell super rentang ribu okelah rentang efek dominonya cepet sektor,positive
2,Gua driver Ojol Wajib isi di SHELL Kenapa? Karena ada Bonus Poinnya yang bisa ditukar bensin lagi. Gak kayak Pertamina! TOLOL. Pemerintah Indonesia Ngambil Cuan Gede Banget tapi Jalanan Masih banyak yang berlubang &amp; bergelombang. DZALIM banget anjing https://t.co/NgPwPiEpCl,gua driver ojol wajib isi shell bonus poinnya ditukar bensin gak kayak pertamina tolol pemerintah indonesia ngambil cuan gede banget jalanan berlubang amp bergelombang dzalim banget anjing,neutral
0,@HanendaBarunaS G ngerti maaf. Cuma tau klo bensin Shell lebih bagus daripada bensin merah,g ngerti maaf tau klo bensin shell bagus bensin merah,positive
1,Jadi inget kemaren gua beli bensin ke pertamina setelah 1 taun selalu beli di shell auto shock dah biasanya di sambut dengan senyuman ramah giliran di pertamina di judesin dalem ati anjay gua disini beli yak bukan minta anjir ,inget kemaren gua beli bensin pertamina taun beli shell auto shock dah sambut senyuman ramah giliran pertamina judesin dalem ati anjay gua beli yak anjir,neutral
0,bensin kendaraan gua shell masa iya gua harus jadi tifo cuuuyyyyy kalo ada petronas gua pake petronas wkwkwkkw,bensin kendaraan gua shell iya gua tifo cuuuyyyyy kalo petronas gua pake petronas wkwkwkkw,neutral
0,Mlsbgt hrs ngisi bensin fakkkkk knp shell jauh bgtsih,mlsbgt hrs ngisi bensin fakkkkk knp shell bgtsih,neutral
1,Gak usah deg-degan lagi deh kalo bawa kendaraan~ Soalnya ada QRIS SUP3R PR0MO di Shell yang untungnya bikin hati tenang~ Yuk! Isi bensin di Shell pake QRIS SUP3R PR0MO sekarang! Periode promo: 1-30 Juni 2025 Maksimal Cashback Rp30.000 Minimal transaksi Rp300.000 https://t.co/HV5HFUmSV6,gak degdegan deh kalo bawa kendaraan qris supr prmo shell untungnya bikin hati tenang yuk isi bensin shell pake qris supr prmo periode promo juni maksimal cashback rp minimal transaksi rp,positive
0,@yjwxo_09 shell (udah kayak isi bensin),shell udah kayak isi bensin,negative
0,motor astrea isi bensin shell langsung enteng gini tarikannya,motor astrea isi bensin shell langsung enteng gini tarikannya,positive
2,gw jg cewek tp gak goblok. motor rutin servis ganti oli rutin. ban 22 nya udh ganti baru sblm BOTAK. bensin gapernah smpe kering bgt isinya jg di shell. wkwkwk sebel bgt klo semua cewek dianggep acuh sm kendaraan. gak semua ya anjir. krn yg bisa kena bahaya bkn lu doang.,gw jg cewek tp gak goblok motor rutin servis ganti oli rutin ban udh ganti sblm botak bensin gapernah smpe kering bgt isinya jg shell wkwkwk sebel bgt klo cewek dianggep acuh sm kendaraan gak ya anjir krn kena bahaya bkn lu doang,positive
0,@orionnvesper @tanyakanrl Kalau pemakaian motor matic nya jarang-jarang bahkan jarak tempuhnya selama 6 bulan ratusan km aja dan pakai bensin shell v-power. Haruskah perawatannya seperti diatas?,pemakaian motor matic jarangjarang jarak tempuhnya ratusan km pakai bensin shell vpower haruskah perawatannya diatas,neutral
0,Pas lagi jalan pulang mampir ke shell buat ngisi bensin. Pas mau bayar pake qris eh ada notif dari toped pesanan masuk banyak bener. Kirain order lampu gataunya diorama. Mana banyak bener order nya. Mau sedih krna gabisa pulang ketemu istri tapi ini rezeki https://t.co/EZn5CdIQKh,pas jalan pulang mampir shell ngisi bensin pas bayar pake qris eh notif toped pesanan masuk bener kirain order lampu gataunya diorama bener order sedih krna gabisa pulang ketemu istri rezeki,positive
0,@audiraafian @minyuwnki @AldhitamaR Bener jd sobat Shell kalo yg versi bensin wkwkwk,bener jd sobat shell kalo versi bensin wkwkwk,neutral
0,Baru kali ini naik gocar agya isi bensin di shell. Maafin aku yg underestimate kamu bang ,kali gocar agya isi bensin shell maafin underestimate bang,positive
8,Biar bisa nabung sekaligus kurangin pengeluaran bisa nabung di rek-wallet (rekening bank di e-wallet dari OVO) namanya OVO Nabung.. ini klo transaksi rutin bisa dapet banyak dapat cashback yang masuk ke OVO Points dari berbagai transaksi.. Contohnya isi bensin di Shell dapat https://t.co/53w3rzMPu7,biar nabung kurangin pengeluaran nabung rekwallet rekening bank ewallet ovo namanya ovo nabung klo transaksi rutin dapet cashback masuk ovo points transaksi contohnya isi bensin shell,neutral
0,Berhasil dua kali berturut-turut isi bensin eksklusif Shell hari ini putus streaknya karena buru-buru ,berhasil kali berturutturut isi bensin eksklusif shell putus streaknya buruburu,negative
50,Pom bensin paling sering kita lihat ada PTT Bang hak PT sama Caltex Shell dan beberapa pom nggak populer juga ada tapi tidak banyak Yang lucunya disini beli bensin selalu dapet air mineral 1.5 liter gratis https://t.co/MD30xG4599,pom bensin lihat ptt bang hak pt caltex shell pom nggak populer lucunya beli bensin dapet air mineral liter gratis,neutral
1,halo semuanya selamat malam/pagi/siang mau minta tolong kalo ada yang liat motor ini bisa chat atau hub 089512528189 jadi kakak sepupuku dihipnotis di deket pom bensin shell sasak jarang yang diambil dompet sama hp infinix hot 30 ktpnya atas nama kuku raka pratama https://t.co/v0UhMNqOpT,halo selamat malampagisiang tolong kalo liat motor chat hub kakak sepupuku dihipnotis deket pom bensin shell sasak jarang diambil dompet hp infinix hot ktpnya nama kuku raka pratama,neutral
1,sedikit cerita tadi pagi kami sempet isi bensin dulu di @Shell bekasi. dan ada cerita jadi mbak² operator ini nawarin buat sekalian borong jajanan / kopi seliternya katanya lagi promo. dia jg nawarin bisa sekalian nuker shell go+ nya seliter jadi 40k (cont..) https://t.co/mQN6IT7TOx,cerita pagi sempet isi bensin bekasi cerita mbak² operator nawarin borong jajanan kopi seliternya promo jg nawarin nuker shell go seliter k cont,neutral
0,@Charlesu ayuk lah kak shell mah bakal ngasih kaka bensin banyak. lha akuuu?? nungguin kakak ngasih,ayuk kak shell mah ngasih kaka bensin lha akuuu nungguin kakak ngasih,neutral
0,baru pertama kali isi bensin shell pake ron 95 ternyata nyaman juga,kali isi bensin shell pake ron nyaman,positive
0,Orang yg isi bensin di shell trus motornya parkir gitu aja deket pomnya itu orang egois. Ada tempat parkir loh buat pinggirin motornya biar ga menghalangi orang laen,orang isi bensin shell trus motornya parkir gitu deket pomnya orang egois parkir pinggirin motornya biar ga menghalangi orang laen,neutral
0,@AbCdEfG002134_ @draftanakunpad3 Haloo mesin aman servis rutin bensin isi shell Surat lengkap pajak aktif Beat 2016 hitam 9 5 nego,haloo mesin aman servis rutin bensin isi shell surat lengkap pajak aktif beat hitam nego,positive
0,Sebagai orang pemula isi bensin motor shell menjadi tempat pilihan yang pas karena pelayanannya yang ramah jadi kalau kikuk enggak di judesin justru dibantuin. Hidup @Shell,orang pemula isi bensin motor shell pilihan pas pelayanannya ramah kikuk judesin dibantuin hidup,positive
0,Gw beli bensin baik-baik minta diisi full baik-baik tapi pelayanan yg gw dapet? Gak ditanya mau isi apa mukanya masam ngasih kembalian kayak seolah-olah nyuruh gw pergi padahal kagak ada antrian. Gak salah gw ganti pake Shell mahal dikit tapi hospitalitynya terbukti ramah.,gw beli bensin baikbaik diisi full baikbaik pelayanan gw dapet gak isi mukanya masam ngasih kembalian kayak seolaholah nyuruh gw pergi kagak antrian gak salah gw ganti pake shell mahal dikit hospitalitynya terbukti ramah,positive
0,Lupa kemaren Jumat mau cerita prestasi hari ini: bisa ngisi angin (ban) sendiri di pom bensin shell wkwk,lupa kemaren jumat cerita prestasi ngisi angin ban pom bensin shell wkwk,neutral
0,Pertami//na tai. Nyokap gue isi bensin full pake ron 90 bisa kena 30rb lebih. Gue isiin motornya full di Shell pake ron 92 cuma 29rb.,pertamina tai nyokap gue isi bensin full pake ron kena rb gue isiin motornya full shell pake ron rb,neutral
0,Nukerin poin di shell cuma dapet ini tiap isi bensin doi pasti di shell tapi tapi ngumpulin poin nya 6 tahun hahaha https://t.co/0Tb2X0juuu,nukerin poin shell dapet isi bensin doi shell ngumpulin poin hahaha,neutral
7,Lg ngisi bensin di shell tbtb nemu food truck matcha lucu bgt,lg ngisi bensin shell tbtb nemu food truck matcha lucu bgt,neutral
0,@agtinmgy Isi 50 pertamax dari bensin kedip naiknya 4 di Shell isi 50 super yang ijo naiknya 5 batang padahal shell lebih mahal. Taukan kesimpulannya apa,isi pertamax bensin kedip naiknya shell isi super ijo naiknya batang shell mahal taukan kesimpulannya,neutral
0,Isi bensin di seluruh SPBU Shell dapatkan Cashback Rp100 Ribu dengan Reward BCA Promo hanya sampai 30 Juni 2025 Lihat info selengkapnya di https://t.co/47uOSOxRKH https://t.co/i7wZ5WyOfm,isi bensin spbu shell dapatkan cashback rp ribu reward bca promo juni lihat info selengkapnya,positive
0,Kayanya kalo isi bensin di shell jd lebih irit deh apa cm perasaan gue doang,kayanya kalo isi bensin shell jd irit deh cm perasaan gue doang,positive
0,@markisntmine Gua pernah isi bensin di shell bayarnya pake kris terus di celetukin pegawainya: KRIS? KRIS JHON? tapi gua bodo amat sih gk pernah ambil pusing.,gua isi bensin shell bayarnya pake kris celetukin pegawainya kris kris jhon gua bodo ambil pusing,neutral
0,@jaemain Eh ga level sumpaah itu bensin oplosan.... gw pakenya Shell jir yang bagusan ituu ceritaa apaan anjir? Perkawinan silang antar hewan kah?,eh ga level sumpaah bensin oplosan gw pakenya shell jir bagusan ituu ceritaa anjir perkawinan silang hewan kah,neutral
1,lagi mupeng matcha yg jualan pake truk keliling (abis liat ig nya doi katanya bakal ada di shell suhat) tpi pas gw ke sana kaga ada bjirr gw malu diliatin orang antri isi bensin cuma lewat doang,mupeng matcha jualan pake truk keliling abis liat ig doi shell suhat tpi pas gw kaga bjirr gw malu diliatin orang antri isi bensin doang,neutral
0,@silahkanjalan Sekitaran Depok. Patokannya dari website Bquik dan liat di pom bensin Shell langsung tadi,sekitaran depok patokannya website bquik liat pom bensin shell langsung,neutral
1,deymm worst experience ngisi bbm di pertamina. lg di jalan bensin habis &amp; di sekitar gaada shell jadilah belok ke pertamina. kami ngisi 10 L (which is gpp lah wlopun mobil??). trs petugasnya nanya ga percaya sambil muka ktawa ngejek gt https://t.co/hJLo6vOfKs,deymm worst experience ngisi bbm pertamina lg jalan bensin habis amp gaada shell belok pertamina ngisi l which is gpp wlopun mobil trs petugasnya nanya ga percaya muka ktawa ngejek gt,positive
18,Nekstaym kita mampir ke Shell. Hari ini masih skip isi bensin karena tanki full. https://t.co/pV9REF1sTs,nekstaym mampir shell skip isi bensin tanki full,positive
0,H : pizza nya baru ku orderin tunggu dulu ada card e-money di dashboard kiri isinya sekian tolong beliin bensin di shell mas boleh beli kopi pake uang di situ juga M : aku dah dibuatin mamamu barusan H : cpt otw klo pizza dah sampai! M : mantap bawa mazda ni H : tiati mas,h pizza ku orderin tunggu card emoney dashboard kiri isinya sekian tolong beliin bensin shell mas beli kopi pake uang situ m dah dibuatin mamamu barusan h cpt otw klo pizza dah m mantap bawa mazda ni h tiati mas,neutral
0,@dubbiedumb iyaaaa soalnya baru keluar nya jam 8 lewat trus ak mngisi bensin duluw ngantrii bgt shell skrggg ‍‍,iyaaaa jam trus ak mngisi bensin duluw ngantrii bgt shell skrggg,neutral
0,Sudah dipastikan ketiga supir memakai bensin Shell. Alias NGEBUT BANGET.,ketiga supir memakai bensin shell alias ngebut banget,positive
1,Isi bensin di shell pake QRIS Superbank hematnya bukan maennn! Buruan kejar cashbacknya sekarang dan jangan sampai ketinggalan! Periode promo : 1-30 Juni 2025 Maksimal Cashback Rp30.000 Minimal transaksi Rp300.000 Cashback akan diterima maksimal 3 hari kerja setelah https://t.co/4KE7dvm6qp,isi bensin shell pake qris superbank hematnya maennn buruan kejar cashbacknya ketinggalan periode promo juni maksimal cashback rp minimal transaksi rp cashback diterima maksimal kerja,positive
0,@innovacommunity Kalau oli selama ini masih yang tak apaki enak shell sih dan beli di pom bensin shell langsung,oli apaki enak shell beli pom bensin shell langsung,positive
3,@LambeResing Kalo budget masuk akal yaitu Ferrari tapi berwujud diecast dari pom bensin Shell https://t.co/kvijVyvo8d,kalo budget masuk akal ferrari berwujud diecast pom bensin shell,neutral
0,@sugarplumply misi maaf oot. mau jual motor ninja kawasaki 250cc 2016 ss stnk only bpkp menyusul mulus mesin sehat oli motul bensin (shell/bp/vivo) rante udh racing knalpot racing (dpt kalo ga nego) velg baru di repaint motor istimewaa. 25jt aja https://t.co/wVIG9C8xCz,misi maaf oot jual motor ninja kawasaki cc ss stnk only bpkp menyusul mulus mesin sehat oli motul bensin shellbpvivo rante udh racing knalpot racing dpt kalo ga nego velg repaint motor istimewaa jt,neutral
0,misi maaf oot. mau jual motor ninja kawasaki 250cc 2016 ss stnk only bpkp menyusul mulus mesin sehat oli motul bensin (shell/bp/vivo) rante udh racing knalpot racing (dpt kalo ga nego) velg baru di repaint motor istimewaa. 25jt aja https://t.co/frX0SiZttC,misi maaf oot jual motor ninja kawasaki cc ss stnk only bpkp menyusul mulus mesin sehat oli motul bensin shellbpvivo rante udh racing knalpot racing dpt kalo ga nego velg repaint motor istimewaa jt,neutral
0,@enjang_as @endiiel @innovacommunity Ada malah. Kalau di pom bensin Shell mah jelas ori.,pom bensin shell mah ori,positive
0,Ngisi bensin di malaysia bang 20 liter *ngeliat mesin pompanya* Bangsat shell 95 harganya cuma 2 05 ringgit. BISA MURAH GITU HELLOOW,ngisi bensin malaysia bang liter ngeliat mesin pompanya bangsat shell harganya ringgit murah gitu helloow,positive
0,Progress rumahku. Selain ruang tv sekarang udah punya taman kamar tidur dan baru punya kamar mandi. Alhamdulillah udah ga numpang boker dan mandi di pom bensin Shell ️ #adorablehome https://t.co/eBcEdb3qvB,progress rumahku ruang tv udah taman kamar tidur kamar mandi alhamdulillah udah ga numpang boker mandi pom bensin shell,neutral
0,Kayaknya masih banyak yang nggak tau kalau bayar pembelian bensin di shell bisa di gerai Shell Select (minimarketnya shell),kayaknya nggak tau bayar pembelian bensin shell gerai shell select minimarketnya shell,neutral
2,Saya curiga suaminya bahan bakar utamanya bensin Shell 95 Ron nder,curiga suaminya bahan bakar utamanya bensin shell ron nder,neutral
