,favorite_count,full_text,quote_count,reply_count,retweet_count
10,0,gw ngisi bensin 180k di shell tapi ga naik ini gw ditipu apa mobil gw yg rusak yak https://t.co/za4btbibZ8,0,1,0
11,0,@bubblushy @tanyarlfes masa?????? aku tiap hari isi bensin lho mau di shell mau di pertamina ga pernah turun mobil tinggal bilang aja. Kalau self service ya kayak di luar semua dikerjakan sendiri,0,2,0
12,2,tadi beli bensin di SPBU shell mas masnya keliatan masih baru karena belom make seragam cuma make hitam putih + rompi ijo terang. beliau detail banget pas sambil ngisi nozzle kalo di shell lagi ada undian ke singapore buat member dengan minimal pembelian.,0,0,0
13,3,@IlhamKreativ @tanyarlfes Kalo gak ada BP/Shell isi bensin pake air ya,0,1,0
14,6,@tanyarlfes NGAPAIN BELI BENSIN DI PERTAMINA BJIR MENDING BELI DI SHELL ATAU BP DAH,2,1,0
15,4,kenapa ya shell itu kaya lebih enak dilihat dibanding pom bensin lainya https://t.co/ZshWXRABdX,0,0,0
16,0,Niat hati keluar isi bensin malah kejebak banjir 2 jam setengah di shell anjeng. Ujung²nya dorong motor dulu baru nyalain anjeng mana panjang pula banjirnya,0,2,0
17,0,hidup dari bunga deposito adalah impianku tak lupa menjadi ibu kos yang didepan kos ada indomaret buat warisan ke anak pertama trs kalo isi bensin di akr kalo ga shell bisnis joinan sm suami,0,0,0
18,0,pom bensin shell udah masuk isla nublar,0,0,0
19,8,Bensin shell naik aku mau naik transportasi umum hari ini,0,2,0
20,8,AK MAU CERITAA! jadi ceritanya aku lg isi bensin kan di shell trs mas2nya nawarin promo kalo beli kopi 1 liter dapet tumblr trs ayahku nawarin lah ke aku aku jelas mau kan. terus ekspresi mas2nya langsung happy banget trs pas ngambilin kopinya mas2nya jalan sambil loncat2 gitu,0,4,0
21,1,@budi_nugraha86 @innovacommunity Di BP ada point gitu ga sih bang? Soalnya gw kalo isi di Shell kan dpt poin ya. Point nya buat isi bensin motor. Mayan gratis jadinya ,0,2,0
22,3,Bensin terbaik untuk kendaraan bermotor saat ini. Pendapat tidak populer ini berdasarkan pengalaman saya selama 2 bulan terakhir ini transisi dari bensin Shell Super ke bensin RON92 Exxon Mobil. Efek yang terasa mesin lebih halus dibanding bensin Shell. https://t.co/TBokUWoEEX,0,2,0
23,15,Harga BBM Pertamina-Shell Naik Ingat Isi Bensin Sesuai Rasio Kompresi https://t.co/L86Jq4t8ix,1,0,3
24,0,@Nonamenoname898 @hrdbacot setuju! terus Shell tuh suasananya kaya mall bersih cerah dan terang gitu toiletnya jg bersih wangii. tiap isi bensin sll bilang mau sekalian di lap teh kaca mobilnya? full senyum ngisi 20 liter ron 92 cuma beda 6rb sama plat merah tp pelayanan shell gk bikin ngerasa rugi,0,0,0
25,60,Harga BBM naik di bulan Juli! Mari kita awali bulan Juli 2025 dengan kenaikan harga BBM. BP Shell Vivo hingga Pertamina menyesuaikan harga bensin dan diesel nonsubsidi mereka mulai dari Rp230-590 per liter. Siapa yang belum isi bensin? [via https://t.co/mrLSGCKnRW] https://t.co/S4AzhvJC2l,8,5,9
26,1003,@hrdbacot Udah ga pernah isi pertamax lagi Shell: antrian ga panjang mesin lebih awet bensin lebih irit ternyata sering diucapin salam selamat pagi / siang / malam &amp; ucapan terima kasih staff mostly ramah So kenapa masih harus isi pertamax kalau di tempatmu dekat dengan Shell?,34,45,52
27,4,@CNNIndonesia Udah ga pernah isi pertamax lagi Shell: antrian ga panjang mesin lebih awet bensin lebih irit ternyata sering diucapin salam selamat pagi / siang / malam &amp; ucapan terima kasih staff mostly ramah So kenapa masih harus isi pertamax kalau di tempatmu dekat dengan Shell?,0,5,1
28,0,Alhamdulillah ada Shell di deket kosan jadi bisa isi bensin sebelum harganya naik https://t.co/luVqkd5LoV,0,0,0
29,0,Segera isi bensin shell karena besok naik 500 perak,0,0,0
30,0,@aralfadil Yg bikin keselnya sekarang isi bensin di shell kalo motor ngantri ga disuruh pindah ke dispenser yg lain bang,0,0,0
31,0,aku semakin cinta shell selalu ada promo mas nya baik baik yang difoto jg ganteng dan bensin nya wangi aku suka aku suka,0,0,0
32,0,cibiru-bojongs dgn bensin satu batang soalnya di cibiru gak ada shell tp gpp dah aman kahimku dah penuh lg https://t.co/wKyruOTXR3,0,0,0
33,0,Gais menurut kalian gua salah ga sih? Jadi tadi siang abis ngedrop teteh ke travel gua rencana isi bensin mobil karna udah mau abis. Masuk shell terdekat dan buat masuk doangnya mayan antri tapi ga begitu banyak emang kebetulan aja pom bensinnya agak kecil,1,2,0
34,0,gua baru kali ini liat poster charles sama lewis segede gaban di bekasi. 2x pula. satu di shell pom bensin satu lagi di puma,0,0,0
35,0,Demi isi shell kuat juga ini bensin dari seskoal sampe pom deket rumah https://t.co/1UdEaTJ6TY,0,0,0
36,0,Pengalaman unik yg mungkin bermanfaat utk yg lain. Saya pengguna HRV Gen-3 sebelumnya isi Shell saat pulkam di KM 287A isi Pertamax tanpa sadar pengukur bensin tidak bertambah sama sekali. Sdh negatif thinking ternyata naiknya perlahan stlh 30 menit baru full.,0,0,0
37,0,draining ngt anj hari ini ke wahoo panas-cape-pegel terus ketemu ikea terus balik bensin abis ke shell dulu yg penuh salah jalan macet dari tol sampe pvj CAPEK,0,0,0
38,0,@OGendut81 Oo dulu Shell boleh jual ya. Mayak. Aku dek Malang iki beberapa kali ke spbu kok ndak enek jual solar. Dulu dek pom bensin pertigaan arah Bu Kris itu jual tp terakhir sana kok gak jual kok yo tepak adoh sisan. Wes tak beli dek Pen2 ae nanti menisan arah plg Mas. Makasih2 ,0,0,0
39,0,@sosmedkeras Sejuta tuh sekali keluar njir Keluar Nih Beli bensin mobil di shell dah 350 makan 250 lah sisa 400 paling buat Nonton beli rokok sama Martabak Kalo anterin pulang doi anjirr. Padahal dulu kata bokap gw beli lemari 30 ribu dah bagus awet sampe gw gede masih bagus ,0,0,0
40,0,Udah feeling aki mobil mau abis bener aja barusan abis isi bensin ga bisa di starter mobilnya wkwk Untung aja di shell ada bengkelnya‍‍,0,0,0
41,0,@sbyfess Kak aku juga sama kayak kamu. Tapi aku tanyanya langsung ke orang bengkelnya. Bukan resmi atau pinggir jalan sih. Aku sekarang mau coba jadi member setia Shell (bukan cuma bensin tapi sama sparepart motor nya). Gratis kok untuk biayanya. Kamu tinggal beli alatnya aja,0,1,0
42,0,Baru aja gw seneng ngisi bensin shell yg ron 98 ga nyampe 13k/L,0,0,0
43,0,@Schentz_ Harga bensin di indo overprice Kalo pertamina bajingan seperti biasanya kemungkinan naik Yang ngatur harga kan si bangsat ini shell dkk mah katanya 10rb jga dah untung,0,1,0
44,0,gue selama ini isi bensin ke shell cileunyi. taunya ada shell yang agak lebih jauh tp jalannya aman yaitu shell phh mustofa. cuma lurus aja dari daerah kost gue. isi bensin ke cileunyi tuh cuma 15 - 20 menit aja tapi jalannya ngeri bgt. udah lah macet trs banyak truck gt,0,0,0
45,0,Eh tolong kenapa kalo isi bensin di shell selalu mobil yg diduluin. Kaya antrian motor panjang gue udh antri lama mobil yg baru dateng malah pergi duluan. Emang gitu kah sop nya,0,0,0
46,0,@xxtravert Coba makannya sambil main roleplay si anak jadi mobil yang jalan keliling mom jadi SPBU Shell. Jadi sekali muter harus isi bensin di SPBU Shell (makan). Ehh tapi makan sambil lari-lari gak bagus juga sihhh. Kalo gitu jangan ikutin saran aku.,0,0,0
47,0,Beat mber saya minumnya bensin shell,0,2,0
48,0,Masih agak ketar-ketir 1 juli nanti bensin bakalan naik berapa. Kalau shell super rentang 13-15 ribu masih okelah tapi kalau lebih dari rentang itu mungkin efek dominonya akan lebih cepet ke sektor lainnya.,0,0,0
49,2,Gua driver Ojol Wajib isi di SHELL Kenapa? Karena ada Bonus Poinnya yang bisa ditukar bensin lagi. Gak kayak Pertamina! TOLOL. Pemerintah Indonesia Ngambil Cuan Gede Banget tapi Jalanan Masih banyak yang berlubang &amp; bergelombang. DZALIM banget anjing https://t.co/NgPwPiEpCl,0,1,0
50,0,@HanendaBarunaS G ngerti maaf. Cuma tau klo bensin Shell lebih bagus daripada bensin merah,0,1,0
51,1,Jadi inget kemaren gua beli bensin ke pertamina setelah 1 taun selalu beli di shell auto shock dah biasanya di sambut dengan senyuman ramah giliran di pertamina di judesin dalem ati anjay gua disini beli yak bukan minta anjir ,0,1,0
52,0,bensin kendaraan gua shell masa iya gua harus jadi tifo cuuuyyyyy kalo ada petronas gua pake petronas wkwkwkkw,0,0,0
53,0,Mlsbgt hrs ngisi bensin fakkkkk knp shell jauh bgtsih,0,1,0
54,1,Gak usah deg-degan lagi deh kalo bawa kendaraan~ Soalnya ada QRIS SUP3R PR0MO di Shell yang untungnya bikin hati tenang~ Yuk! Isi bensin di Shell pake QRIS SUP3R PR0MO sekarang! Periode promo: 1-30 Juni 2025 Maksimal Cashback Rp30.000 Minimal transaksi Rp300.000 https://t.co/HV5HFUmSV6,1,1,0
55,0,@yjwxo_09 shell (udah kayak isi bensin),0,1,0
56,0,motor astrea isi bensin shell langsung enteng gini tarikannya,0,1,0
57,2,gw jg cewek tp gak goblok. motor rutin servis ganti oli rutin. ban 22 nya udh ganti baru sblm BOTAK. bensin gapernah smpe kering bgt isinya jg di shell. wkwkwk sebel bgt klo semua cewek dianggep acuh sm kendaraan. gak semua ya anjir. krn yg bisa kena bahaya bkn lu doang.,0,1,0
58,0,@orionnvesper @tanyakanrl Kalau pemakaian motor matic nya jarang-jarang bahkan jarak tempuhnya selama 6 bulan ratusan km aja dan pakai bensin shell v-power. Haruskah perawatannya seperti diatas?,0,0,0
59,0,Pas lagi jalan pulang mampir ke shell buat ngisi bensin. Pas mau bayar pake qris eh ada notif dari toped pesanan masuk banyak bener. Kirain order lampu gataunya diorama. Mana banyak bener order nya. Mau sedih krna gabisa pulang ketemu istri tapi ini rezeki https://t.co/EZn5CdIQKh,0,0,0
60,0,@audiraafian @minyuwnki @AldhitamaR Bener jd sobat Shell kalo yg versi bensin wkwkwk,0,0,0
61,0,Baru kali ini naik gocar agya isi bensin di shell. Maafin aku yg underestimate kamu bang ,0,0,0
62,8,Biar bisa nabung sekaligus kurangin pengeluaran bisa nabung di rek-wallet (rekening bank di e-wallet dari OVO) namanya OVO Nabung.. ini klo transaksi rutin bisa dapet banyak dapat cashback yang masuk ke OVO Points dari berbagai transaksi.. Contohnya isi bensin di Shell dapat https://t.co/53w3rzMPu7,0,1,0
63,0,Berhasil dua kali berturut-turut isi bensin eksklusif Shell hari ini putus streaknya karena buru-buru ,1,0,0
64,50,Pom bensin paling sering kita lihat ada PTT Bang hak PT sama Caltex Shell dan beberapa pom nggak populer juga ada tapi tidak banyak Yang lucunya disini beli bensin selalu dapet air mineral 1.5 liter gratis https://t.co/MD30xG4599,0,6,4
65,1,halo semuanya selamat malam/pagi/siang mau minta tolong kalo ada yang liat motor ini bisa chat atau hub 089512528189 jadi kakak sepupuku dihipnotis di deket pom bensin shell sasak jarang yang diambil dompet sama hp infinix hot 30 ktpnya atas nama kuku raka pratama https://t.co/v0UhMNqOpT,0,1,0
66,1,sedikit cerita tadi pagi kami sempet isi bensin dulu di @Shell bekasi. dan ada cerita jadi mbak² operator ini nawarin buat sekalian borong jajanan / kopi seliternya katanya lagi promo. dia jg nawarin bisa sekalian nuker shell go+ nya seliter jadi 40k (cont..) https://t.co/mQN6IT7TOx,0,1,0
67,0,@Charlesu ayuk lah kak shell mah bakal ngasih kaka bensin banyak. lha akuuu?? nungguin kakak ngasih,0,1,0
68,0,baru pertama kali isi bensin shell pake ron 95 ternyata nyaman juga,0,0,0
69,0,Orang yg isi bensin di shell trus motornya parkir gitu aja deket pomnya itu orang egois. Ada tempat parkir loh buat pinggirin motornya biar ga menghalangi orang laen,0,0,0
70,0,@AbCdEfG002134_ @draftanakunpad3 Haloo mesin aman servis rutin bensin isi shell Surat lengkap pajak aktif Beat 2016 hitam 9 5 nego,0,0,0
71,0,Sebagai orang pemula isi bensin motor shell menjadi tempat pilihan yang pas karena pelayanannya yang ramah jadi kalau kikuk enggak di judesin justru dibantuin. Hidup @Shell,0,0,0
72,0,Gw beli bensin baik-baik minta diisi full baik-baik tapi pelayanan yg gw dapet? Gak ditanya mau isi apa mukanya masam ngasih kembalian kayak seolah-olah nyuruh gw pergi padahal kagak ada antrian. Gak salah gw ganti pake Shell mahal dikit tapi hospitalitynya terbukti ramah.,0,0,0
73,0,Lupa kemaren Jumat mau cerita prestasi hari ini: bisa ngisi angin (ban) sendiri di pom bensin shell wkwk,0,0,0
74,0,Pertami//na tai. Nyokap gue isi bensin full pake ron 90 bisa kena 30rb lebih. Gue isiin motornya full di Shell pake ron 92 cuma 29rb.,0,0,0
75,0,Nukerin poin di shell cuma dapet ini tiap isi bensin doi pasti di shell tapi tapi ngumpulin poin nya 6 tahun hahaha https://t.co/0Tb2X0juuu,0,0,0
76,7,Lg ngisi bensin di shell tbtb nemu food truck matcha lucu bgt,0,2,0
77,0,@agtinmgy Isi 50 pertamax dari bensin kedip naiknya 4 di Shell isi 50 super yang ijo naiknya 5 batang padahal shell lebih mahal. Taukan kesimpulannya apa,0,0,0
78,0,Isi bensin di seluruh SPBU Shell dapatkan Cashback Rp100 Ribu dengan Reward BCA Promo hanya sampai 30 Juni 2025 Lihat info selengkapnya di https://t.co/47uOSOxRKH https://t.co/i7wZ5WyOfm,0,0,0
79,0,Kayanya kalo isi bensin di shell jd lebih irit deh apa cm perasaan gue doang,0,0,0
80,0,@markisntmine Gua pernah isi bensin di shell bayarnya pake kris terus di celetukin pegawainya: KRIS? KRIS JHON? tapi gua bodo amat sih gk pernah ambil pusing.,0,0,0
81,0,@jaemain Eh ga level sumpaah itu bensin oplosan.... gw pakenya Shell jir yang bagusan ituu ceritaa apaan anjir? Perkawinan silang antar hewan kah?,0,0,0
82,1,lagi mupeng matcha yg jualan pake truk keliling (abis liat ig nya doi katanya bakal ada di shell suhat) tpi pas gw ke sana kaga ada bjirr gw malu diliatin orang antri isi bensin cuma lewat doang,0,1,0
83,0,@silahkanjalan Sekitaran Depok. Patokannya dari website Bquik dan liat di pom bensin Shell langsung tadi,0,1,0
84,1,deymm worst experience ngisi bbm di pertamina. lg di jalan bensin habis &amp; di sekitar gaada shell jadilah belok ke pertamina. kami ngisi 10 L (which is gpp lah wlopun mobil??). trs petugasnya nanya ga percaya sambil muka ktawa ngejek gt https://t.co/hJLo6vOfKs,0,1,0
85,18,Nekstaym kita mampir ke Shell. Hari ini masih skip isi bensin karena tanki full. https://t.co/pV9REF1sTs,0,9,1
86,0,H : pizza nya baru ku orderin tunggu dulu ada card e-money di dashboard kiri isinya sekian tolong beliin bensin di shell mas boleh beli kopi pake uang di situ juga M : aku dah dibuatin mamamu barusan H : cpt otw klo pizza dah sampai! M : mantap bawa mazda ni H : tiati mas,0,0,0
87,0,@dubbiedumb iyaaaa soalnya baru keluar nya jam 8 lewat trus ak mngisi bensin duluw ngantrii bgt shell skrggg ‍‍,0,0,0
88,0,Sudah dipastikan ketiga supir memakai bensin Shell. Alias NGEBUT BANGET.,0,0,3
89,1,Isi bensin di shell pake QRIS Superbank hematnya bukan maennn! Buruan kejar cashbacknya sekarang dan jangan sampai ketinggalan! Periode promo : 1-30 Juni 2025 Maksimal Cashback Rp30.000 Minimal transaksi Rp300.000 Cashback akan diterima maksimal 3 hari kerja setelah https://t.co/4KE7dvm6qp,0,1,0
90,0,@innovacommunity Kalau oli selama ini masih yang tak apaki enak shell sih dan beli di pom bensin shell langsung,0,0,0
91,3,@LambeResing Kalo budget masuk akal yaitu Ferrari tapi berwujud diecast dari pom bensin Shell https://t.co/kvijVyvo8d,0,0,0
92,0,@sugarplumply misi maaf oot. mau jual motor ninja kawasaki 250cc 2016 ss stnk only bpkp menyusul mulus mesin sehat oli motul bensin (shell/bp/vivo) rante udh racing knalpot racing (dpt kalo ga nego) velg baru di repaint motor istimewaa. 25jt aja https://t.co/wVIG9C8xCz,0,0,0
93,0,misi maaf oot. mau jual motor ninja kawasaki 250cc 2016 ss stnk only bpkp menyusul mulus mesin sehat oli motul bensin (shell/bp/vivo) rante udh racing knalpot racing (dpt kalo ga nego) velg baru di repaint motor istimewaa. 25jt aja https://t.co/frX0SiZttC,0,0,0
94,0,@enjang_as @endiiel @innovacommunity Ada malah. Kalau di pom bensin Shell mah jelas ori.,0,0,0
95,0,Ngisi bensin di malaysia bang 20 liter *ngeliat mesin pompanya* Bangsat shell 95 harganya cuma 2 05 ringgit. BISA MURAH GITU HELLOOW,0,0,0
96,0,Progress rumahku. Selain ruang tv sekarang udah punya taman kamar tidur dan baru punya kamar mandi. Alhamdulillah udah ga numpang boker dan mandi di pom bensin Shell ️ #adorablehome https://t.co/eBcEdb3qvB,0,0,0
97,0,Kayaknya masih banyak yang nggak tau kalau bayar pembelian bensin di shell bisa di gerai Shell Select (minimarketnya shell),0,0,0
98,2,Saya curiga suaminya bahan bakar utamanya bensin Shell 95 Ron nder,0,3,0
99,0,@MasMasBiassaa @tyaaassh Ngomong e bonusan isi bensin shell paman,0,0,0
100,0,@richkidshen ehh kek petugas pom bensin shell sihh,0,0,0
101,0,@Nmravit Maaf mod td lg di shell isi bensin dulu,0,2,0
102,0,@floweringseroja daerah mana ya kak tadi lagi isi bensin di shell sempet liat ada 4 mobil damkar lewat? ,0,1,0
103,0,@TMCPoldaMetro @thecatguy279 Kan dia emang udah bilang semenjak separator busway nya diperpanjang sampe depan Pom Bensin Shell . Jadi bottle neck dan macet! Yg dia mau itu solusi lain. Bukan info yang udah dia tau ,0,1,0
104,0,@TMCPoldaMetro ini macet di bawah underpass PIM ini selalu terjadi pagi siang malem semenjak separator busway nya diperpanjang sampe depan Pom Bensin Shell . Jadi bottle neck dan macet! Keren banget! https://t.co/aUAaK8uune,0,1,1
105,0,@ChiffonIvory shell bukannya jual bensin,0,1,0
106,0,Pertama X isi bensin di Shell stlh pergantian manajemen ke perusahaan lokal biasanya langsung di layani ini 10 menit nggak ada petugas Katanya kurang orang. Seyem.,0,0,0
107,1,Pergi ke sentul naik Yaris Cross. Dapet 1 : 32. Bensin isi Shell doang 50rb https://t.co/FhSPgvgXJc,0,0,0
108,0,Harga bahan bakar minyak (BBM) di SPBU PT Pertamina pada pekan pertama di Juni 2025 terpantau turun dibandingkan pada bulan sebelumnya. Selengkapnya: https://t.co/hrFywbbb7Q #bensin #bbm #bbmbp #bbmpertamina #hargabensin #bensinturun #bbmvivo #hargabbm #hargabbm1juni https://t.co/TyEa11gfKF,0,0,0
109,0,Blistener! Mulai 1 Juni 2025 harga BBM nonsubsidi turun ️ Pertamax dari Rp12.400 jadi Rp12.100/liter di Jakarta. Shell BP-AKR sampe Vivo juga ikutan nurunin harga. Lumayan irit isi bensin nih! #MorningVoice,0,0,0
110,0,Malu bgt anjing tdi di pom bensin mtr ku ke gas trs dia loncat mana lgi rame itu shell untung abangnya gercep bgt nolongin,0,0,0
111,0,td isi bensin di shell dan selama isi bensin mba2 yang isiin ngajak ngobrol dan nanya2 semester berapa gue bilang semester 6 kak. ABIS ITU disemangatin buat nyusun skripsi tengs mba semoga km sehat selalu,0,0,0
112,0,@strwberimun trus yaopo la emang ngisi bensin nang shell mbek ijo,0,1,0
113,0,@hrdbacot pengen juga pakek shell tapi motorku kan cuma suprafit 2006. takut dimarahin yang punya bengkel resmi lagi ngapain pak pakek bengsing bagus2.. udah pakek premium aja . mekaniknya cumak cengar-cengir sambil nguras bensin bagus tadi buat nyusi karburator.,0,0,0
114,4,@barrabavraz @hrdbacot Keuntungan pakai shell? Beli bensin dapet point member baru dapet point ganti oli tiap rabu dapet point 100 tarikan motor jauh lebih enak kalo bener2 di isi dari tangki mau abis. Motor saya harusnya pake RON90 tp saya isi Shell/BP terus,0,0,0
115,0,1. Gw isi full bensin pake shell 2. Motor gw dipinjem 3. Diminta buat anter makanan ke rumah gw nolak Jadi... Gatau diri?,0,0,0
116,2,Kopi di pom bensin Shell ternyata cukup OK. ,0,2,0
117,143,@Auto___Revo Nitro+ itu bensin buat Supercar. Diabuse sm pengguna motor matic spek valap ala2 buat dipake kevut2an Shell Antasari yg deket Kemang 24 jam itu sampe ga jual lagi Nitro+ karena dipake trek2an Kalo motor matic lokal Super92 aja udah bagus bgt. Gausah Nitro+. Vpower aja overkill,0,4,2
118,0,Tai lah shell cabut dari indo. Walaupun tetep dipasok bensin nya tapi tetep aja ngaco. Setres.,0,0,0
119,43,@innovacommunity Kemungkinan pake v-power nitro+ harusnya pake super. Tapi keren sii memang bbm shell bikin bensin bersih maka nya diusahakan punya mobil/motor pake shell. https://t.co/6LM8lF1v0z,0,3,2
120,0,Sejauh tgl 17 isi shell vpower 95 sampe skarang belum isi bensin lagi. ,0,0,0
121,0,Lah iya juga ya. Hebat banget bisa jaga dokumen serapih itu. Gue aja struk bensin baru seminggu udah ilang kemana suka nga ketemu kalo mau rembes. Jadinya sekarang diusahakan make Shell soalnya struk masuk aplikasi kalo ngisi ditempat lain beres isi bensin difoto struknya,0,0,0
122,0,shit mennn. gua selalu beli shell lagi. masa kudu masuk bensin oplosan sih rotom eug? https://t.co/miBHVrYcPz,0,1,0
123,0,@SeulBaebee Brarti hyung kalo beli bensin buat beliin shell ato spbu nya yak https://t.co/V1dCmyrXu7,0,1,0
124,0,@Cypr__ shell yang bensin bukan si?,0,1,0
125,0,@detikcom Saya lebih percaya isi BBM di Shell literannya cukup bensin nya juga di bilang meyakinkan,0,0,0
126,1,@LexWu_13 Taun² kmrn isi bensin shell org pom ny klo ad bensin yg netes di lapin skrg kaya buru2 bgt ampe kadang ad yg netes2 mirip Pertamina ya walaupun gw tau gpp si berceceran asal gk tumpah tpi makin ke sini jdi rada mirip² terus denger ni berita jdi beralih ke pom Muhammadiyah aj lh,0,0,0
127,2,@LexWu_13 karena ada yg takut.. itu terbongkar lgi.. secara bensin shell memang bagus shell gk pernah rugi.. si merah rugi terus.. selalu rakyat di korban kan.. seperti buih di lautan mengikuti kemna ombak..,0,0,0
128,0,jadi shell yg spbu (jualan bensin) tuh sudah ga di bawah pengawasan PT Shell Indo dia pindah kepemilikan ke citadel (yg punya org filipin+kanada) patungan sm sefas group (perusahaan kalimantan) yg jg jdi salah satu distributor oli shell utk tambang https://t.co/CYKjAXuX33,0,1,0
129,0,Pom bensin shell masih ada itu JV baru dua2nya masih punya Shell.,0,0,0
130,0,@nsalenan @ridwanhr Wah kebalikan ya. Kalau di daerah ku shell banyak cabang. BP dan vivo cuman 1 pom bensin.,0,0,0
131,6,@ridwanhr Rezim melalui pertamina berhasil sabotase shell agar bangkrut. Terlihat jelas saat Semua pom bensin shell tutup serentak di Sumatera Utara . Lalu dilanjutkan dengan Dipaksa harga harus lebih mahal dari pertamina dan seringnya kosong pasokan bensin. Culas dan tidak sehat,0,0,1
132,2,@LexWu_13 Ini berita buruk lho gelap. Klo shell dikelola sama mereka nanti klo shell jual bensin oplosan konsumen sdh nggak punya pilihan lagi,0,0,0
133,0,alhamdulillah udah ga pernah isi bensin di pertamina. terakhir aku kehabisan bensin trus yg terdekat pertamina akhirnya terpaksa beli tp 6rb aja biar bisa jalan beli shellmotor tarikan enak kalo pake shell,0,0,0
134,0,@ridwanhr Mungkin shell sudah melihat potensi baik buruk jualan bensin ditengah massivenya produksi EV didalam Dan luar,0,0,0
135,1,Mislead nih. Gua udh baca beritanya. Pom bensin shell bakal tetep ada ygy cuma beda kepemilikan aja ntar,0,0,0
136,0,@ridwanhr pantesan akhir akhir ini kalau beli bensin ke shell pegawainya gigih banget buat promosiin ganti oli sekalian,0,0,0
137,0,@LexWu_13 Ya Allah jujur yaa gw ksian bgt loh sm SHELL ini dia dlu d susahin bgt buat izinnya..bgitu dia urus izin si vivo ama bp bs msuk tnpa hrs bkin izin yg itu gw lupa nama izinnya apa..udh gtu wktu itu shell jg ttp hrs beli bensin dr pertamina jd kyk msih 1 kilang klo g slh..CMIIW,0,1,0
138,0,Tai lah shell cabut dari indo. Walaupun tetep dipasok bensin nya tapi tetep aja ngaco. Setres.,0,0,0
139,0,@bedazzled_mr @ridwanhr @Shell Ya ke pom bensin lah jangan ke warung nasgor ga bakal dapet bensin dapetnya ya.. nasgor ,0,0,0
140,0,@ridwanhr kemarin masih isi bensin di shell,0,0,0
141,1,@innovacommunity waktu belum tau shell ada jam operasional gini dulu pede bgt nongkrong sampe tengah malem pas pulang pada tutup semua baik si kuning ataupun si ijo akhirnya tetep beli di plat merah meski deg2an bensin udah ngedip ,0,0,0
142,0,@mahaabumi Mirip tukang bensin. Shell atau pertamina?,0,1,0
143,0,@ridwanhr Ngantri beli bensin shell,0,0,0
144,0,@CNNIndonesia Jd sebenarnya Shell ini jualan SPBU apa jualan bensin sih... Kok jd bingung....,0,0,0
145,6,@ridwanhr : ke shell yuk : yauda sekalian isi bensin kan... : hah isi bensin? : lah terus ngapain?? : ya mau beli tukucur lah... kok isi bensin. isi bensin mah skrng di BP aja,1,7,0
146,1,@cah_ngeslong @jakesvarna @ridwanhr Oke bro bayangin Shell ngomong kayak Pandji Pragiwaksono: Gue cabut dari pom bensin Indonesia bukan karena Pertamina galak lho! Ini strategi global bro fokus ke pelumas biar mesin lebih genit! *ngakak* Serius Shell lagi main cerdas pindah ke bisnis yang lebih cuan ,0,0,0
147,100,@ridwanhr mau ga curiga karena ada intimidasi dari spbu bumn tapi ga mungkin. soalnya sekarang udah bener2 ngisi bensin di shell mulu mau mobil atau motor pun. udah ga percaya lagi sama si spbu bumn itu. https://t.co/NCloNo7Gae,0,7,5
148,2,@ridwanhr Ahelah padahal enak bgtt pake bensin shell tuu,0,0,0
149,0,@ridwanhr Shell kaya spbu bp jadi nya. Yg punya spbu bp itu perusahaan akr (lokal) Bp cuma jual bensin aja ke akr,0,0,0
150,2,@arisw89 @ridwanhr Masih aman beli bensin di shell..wkwkwk,0,0,0
